day,A,E,H,I,R,S,V,R_t
229.0,1.837972,6.916025,46.2674,7.181286,144.63712,9043.659,2302.3442,2.2514371893003555
230.0,1.852828,6.969971,46.32053,7.2342644,146.09335,9040.123,2294.8254,2.2523941647853896
231.0,1.8539279,7.018651,47.10007,7.2296677,145.96362,9025.998,2317.6797,2.247040325289734
232.0,1.8733363,7.109244,47.218063,7.2622156,147.10495,9016.735,2325.5413,2.244734213846704
233.0,1.8858614,7.1023006,47.526077,7.3701186,148.87367,9010.973,2329.1138,2.243299572433524
234.0,1.8975036,7.175425,47.99053,7.3373375,148.7481,8986.105,2345.0552,2.238762773183465
235.0,1.9007835,7.2445884,48.109737,7.38767,149.22372,8979.756,2359.2212,2.235528263220499
236.0,1.9194502,7.2231493,48.967102,7.4288163,150.55331,8954.463,2368.2913,2.231935769573726
237.0,1.9229447,7.2724166,49.042973,7.475775,152.57684,8962.601,2371.9526,2.2312573036849517
238.0,1.941193,7.312869,49.71478,7.5710835,153.09135,8965.5,2363.5696,2.232779883460039
239.0,1.9535649,7.3500905,49.651093,7.5474286,153.75581,8937.249,2372.9824,2.22925959614159
240.0,1.9538144,7.378535,49.79982,7.5821533,154.90962,8920.871,2410.3486,2.220868760072479
241.0,1.9564385,7.4073234,50.491222,7.609455,156.28426,8914.333,2414.7615,2.2192411852394955
242.0,1.977276,7.4387736,50.794624,7.642355,156.63075,8908.032,2420.3281,2.217672409672833
243.0,1.9932498,7.507232,51.50101,7.7178864,157.3022,8888.302,2438.521,2.2127604316767933
244.0,2.0145674,7.528522,51.68558,7.800174,158.08818,8880.344,2429.2292,2.213874924927851
245.0,1.9987454,7.501557,52.073452,7.791043,159.34128,8878.549,2445.5894,2.210332434699673
246.0,2.0171592,7.549576,52.12076,7.8604503,160.55048,8862.602,2460.143,2.2063625615667446
247.0,2.0381637,7.657285,52.247807,7.862051,160.86543,8849.94,2472.232,2.203210537383624
248.0,2.0362391,7.6718163,52.946648,7.9186983,161.87384,8847.72,2472.677,2.202657523394711
249.0,2.0410578,7.713767,52.99627,7.9368877,162.91399,8817.671,2492.392,2.1969223154458826
250.0,2.0579972,7.8097296,54.059387,8.00858,163.25949,8824.654,2490.0078,2.197483438521745
