week,S,I,W,V,P,C,Q,R,R_t
225.0,10.879692,0.0,0.0,55.393147,0.0,3.8558946,0.0,3069.3438,0.04829109403396443
226.0,0.0,0.0,0.0,55.33495,0.0,4.3242183,2.174399,3053.8586,0.0
227.0,12.198285,8.139195,0.0,55.404255,0.0,4.5408554,0.0,3080.2043,0.053783851791515604
228.0,11.09105,10.381017,0.5590875,55.504932,0.0,1.5223947,0.0,3047.271,0.04944503828911058
229.0,26.8383,0.0,3.8048778,55.403374,0.0,3.927975,0.0,3029.4756,0.12003672429269106
230.0,0.0,1.3467188,0.0,55.303165,0.0,2.7400796,0.011951746,3055.3816,0.0
231.0,2.7266064,5.5229297,0.0,55.546703,0.0,6.6606913,0.0,3051.2544,0.012171296054058624
232.0,0.0,3.78779,0.0,55.614384,0.0,6.638594,0.4490794,3066.7305,0.0
233.0,15.603862,14.84117,0.0,55.367237,0.0,1.9270923,0.0,3045.2822,0.06940261421234035
234.0,0.0,5.7716203,0.5884093,55.392212,0.0,5.935978,0.36048207,3044.8545,0.0
235.0,5.679676,0.0,0.0,55.520447,0.0,3.1943092,0.0,3072.5706,0.025230218751406613
236.0,0.0,0.0,2.2141044,55.296795,0.0,4.7444825,3.9748192,3055.2112,0.0
237.0,14.098939,3.3725483,0.008991132,55.366158,0.0,0.90711075,0.1568332,3059.7844,0.06269574567872506
238.0,27.55854,0.0,0.0,55.202274,0.0,1.0521281,1.8086709,3051.937,0.12239720010471956
239.0,0.0,2.4403892,5.2132382,55.626442,0.0,0.0,0.0,3066.3574,0.0
240.0,0.0,4.152292,0.0,55.362984,0.0,0.0,0.0,3047.1553,0.0
241.0,0.0,17.37924,0.0,55.551456,0.0,1.9223589,3.091185,3106.8618,0.0
242.0,0.0,9.799176,0.28471795,55.124058,0.0,9.811132,1.4443746,3057.8384,0.0
243.0,10.019529,14.900757,0.59265834,55.3121,0.0,6.9944305,1.2535981,3054.059,0.044429732468966525
244.0,17.693306,7.673356,2.3358517,55.48836,0.0,5.8767614,0.5111846,3040.6287,0.07882558236654777
245.0,26.438793,0.0,3.0952692,55.478725,0.0,2.9468336,0.0,3066.5757,0.11690678061034221
246.0,9.441592,5.866088,0.81621486,55.302563,0.0,0.47410792,0.0,3043.1946,0.04224690061837907
247.0,0.0,0.0,1.1236789,55.40146,0.0,1.3345886,0.0,3056.717,0.0
248.0,0.0,0.0,0.0,55.53038,0.0,9.38776,0.0,3061.2976,0.0
249.0,0.0,0.0,0.0,55.348354,0.0,3.8521743,0.0,3074.5278,0.0
250.0,0.0,6.4740567,0.27272803,55.74185,0.0,3.163913,0.0,3049.6855,0.0
