day,S,I,R,H,W,P,A,Q,R_t
1577.0,1344.4529331752233,0.0,0.530680741582598,7.161550717528696e-09,0.0,0.0,5.1539528482992735e-05,2.4814340999260563e-05,5.061979260293428
1578.0,1344.4541190011162,0.0,0.5304515446935382,5.729240574022957e-09,0.0,0.0,7.73092927244891e-05,2.0201871572161118e-05,5.061980045036586
1579.0,1344.4553048270088,0.0,0.5302223478044782,4.296930430517218e-09,0.0,0.0,0.00010307905696598547,1.5589402145061676e-05,5.0619808297797455
1580.0,1344.4564906529017,0.0,0.5299931509154183,2.8646202870114786e-09,0.0,0.0,0.00012884882120748183,1.0976932717962234e-05,5.061981614522904
1581.0,1344.4576764787946,0.0,0.5297639540263585,1.4323101435057401e-09,0.0,0.0,0.0001546185854489782,6.364463290862788e-06,5.061982399266063
1582.0,1344.4588623046875,0.0,0.5295347571372986,0.0,0.0,0.0,0.00018038834969047457,1.7519938637633459e-06,5.061983184009222
1583.0,1344.4586704799108,0.0,0.5287419557571411,1.3662494627705461e-09,0.0,0.0,0.00017178231064463034,1.988303698193964e-06,5.061986199013369
1584.0,1344.4584786551338,0.0,0.5279491543769836,2.7324989255410922e-09,0.0,0.0,0.00016317627159878612,2.2246135326245816e-06,5.061989214017517
1585.0,1344.458286830357,0.0,0.5271563529968262,4.0987483883116385e-09,0.0,0.0,0.0001545702325529419,2.4609233670551996e-06,5.061992229021665
1586.0,1344.4580950055804,0.0,0.5263635516166687,5.4649978510821845e-09,0.0,0.0,0.00014596419350709766,2.6972332014858173e-06,5.0619952440258125
1587.0,1344.4579031808037,0.0,0.5255707502365112,6.83124731385273e-09,0.0,0.0,0.00013735815446125343,2.9335430359164353e-06,5.06199825902996
1588.0,1344.4577113560267,0.0,0.5247779488563538,8.197496776623277e-09,0.0,0.0,0.0001287521154154092,3.1698528703470534e-06,5.062001274034108
1589.0,1344.45751953125,0.0,0.5239851474761963,9.563746239393822e-09,0.0,0.0,0.00012014607636956498,3.406162704777671e-06,5.0620042890382555
1590.0,1344.459228515625,0.0,0.5228919557162693,8.197496776623275e-09,1.0657257267407008e-05,0.0,0.00010298235117391284,2.919568032666575e-06,5.062008472328958
1591.0,1344.4609375,0.0,0.5217987639563424,6.83124731385273e-09,2.1314514534814017e-05,0.0,8.581862597826069e-05,2.4329733605554793e-06,5.06201265561966
