day,S,I,P,R_t
371.0,2320.8399047851562,16722.157958984375,0.0,11.965436817988572
372.0,3254.4214739118306,15718.071847098214,0.0,16.778656056761385
373.0,4188.003043038505,14713.985735212053,0.0,21.5918752955342
374.0,5121.584612165178,13709.899623325893,0.0,26.40509453430702
375.0,6055.166181291853,12705.813511439732,0.0,31.21831377307983
376.0,6988.747750418526,11701.727399553572,0.0,36.031533011852645
377.0,7922.329319545201,10697.64128766741,0.0,40.84475225062546
378.0,8855.910888671875,9693.55517578125,0.0,45.65797148939828
379.0,8238.890319824219,10315.289027622768,0.0,42.476829775692124
380.0,7621.8697509765625,10937.022879464286,0.0,39.29568806198598
381.0,7004.849182128906,11558.756731305803,0.0,36.11454634827982
382.0,6387.82861328125,12180.490583147322,0.0,32.93340463457368
383.0,5770.808044433594,12802.224434988839,0.0,29.752262920867523
384.0,5153.7874755859375,13423.958286830357,0.0,26.57112120716137
385.0,4536.766906738281,14045.692138671875,0.0,23.38997949345522
386.0,5358.826320375714,13266.409476143972,0.0,27.62822960033695
387.0,6180.885734013148,12487.126813616072,0.0,31.866479707218687
388.0,7002.945147650583,11707.84415108817,0.0,36.10472981410042
389.0,7825.004561288016,10928.561488560268,0.0,40.34297992098216
390.0,8647.06397492545,10149.278826032365,0.0,44.581230027863896
391.0,9469.123388562884,9369.996163504464,0.0,48.819480134745625
392.0,10291.182802200317,8590.713500976562,0.0,53.05773024162736
393.0,9071.873090062823,9800.844656808036,0.0,46.77139687927031
394.0,7852.563377925328,11010.97581263951,0.0,40.48506351691326
395.0,6633.253665787833,12221.106968470982,0.0,34.19873015455621
396.0,5413.943953650339,13431.238124302456,0.0,27.912396792199157
397.0,4194.634241512844,14641.369280133928,0.0,21.626063429842105
398.0,2975.3245293753484,15851.500435965401,0.0,15.339730067485057
399.0,1756.014817237854,17061.631591796875,0.0,9.053396705128
400.0,2577.706216812134,16230.437186104911,0.0,13.289749460532985
401.0,3399.3976163864136,15399.242780412946,0.0,17.526102215937968
402.0,4221.089015960693,14568.048374720984,0.0,21.762454971342954
403.0,5042.780415534973,13736.853969029018,0.0,25.99880772674794
404.0,5864.471815109253,12905.659563337053,0.0,30.235160482152928
405.0,6686.163214683532,12074.465157645089,0.0,34.47151323755791
406.0,7507.8546142578125,11243.270751953125,0.0,38.707865992962894
407.0,7505.95427431379,11192.66331263951,0.0,38.69806850650716
408.0,7504.053934369768,11142.055873325891,0.0,38.68827102005144
409.0,7502.1535944257475,11091.448434012278,0.0,38.67847353359571
410.0,7500.253254481725,11040.840994698661,0.0,38.66867604713998
