day,S,I,A,W,Q,V,C,E,R,P,R_t
905.0,1183.7580043247767,0.0008250720399831023,0.030074470809527805,0.0031428377010992597,4.1286386216857606e-05,1628.4259556361608,0.0,0.0,5.208010877881732,0.0,5.121083343375231
906.0,1180.9443184988838,0.0012376080599746533,0.024059576647622247,0.00471425655164889,6.19295793252864e-05,1620.4874441964287,0.0,0.0,5.173280307224819,0.0,5.128615216480843
907.0,1178.1306326729912,0.0016501440799662045,0.018044682485716685,0.006285675402198519,8.257277243371521e-05,1612.5489327566963,0.0,0.0,5.138549736567906,0.0,5.136147089586455
908.0,1175.3169468470983,0.0020626800999577555,0.012029788323811123,0.007857094252748149,0.00010321596554214402,1604.6104213169642,0.0,0.0,5.103819165910993,0.0,5.143678962692067
909.0,1172.5032610212054,0.0024752161199493067,0.006014894161905565,0.00942851310329778,0.0001238591586505728,1596.671909877232,0.0,0.0,5.0690885952540805,0.0,5.151210835797678
910.0,1169.6895751953125,0.002887752139940858,0.0,0.010999931953847408,0.0001445023517590016,1588.7333984375,0.0,0.0,5.034358024597168,0.0,5.15874270890329
911.0,1167.7891148158483,0.0024752161199493067,0.0,0.009428513103297778,0.0001238591586505728,1589.3514578683037,0.0,0.0,5.0562528882707864,0.0,5.1526955776175996
912.0,1165.8886544363838,0.0020626800999577555,0.0,0.007857094252748149,0.00010321596554214401,1589.969517299107,0.0,0.0,5.078147751944406,0.0,5.146648446331908
913.0,1163.9881940569196,0.0016501440799662045,0.0,0.0062856754021985185,8.257277243371521e-05,1590.5875767299108,0.0,0.0,5.100042615618024,0.0,5.140601315046218
914.0,1162.0877336774554,0.0012376080599746533,0.0,0.004714256551648889,6.19295793252864e-05,1591.2056361607142,0.0,0.0,5.121937479291644,0.0,5.134554183760526
915.0,1160.1872732979912,0.0008250720399831024,0.0,0.0031428377010992593,4.128638621685759e-05,1591.823695591518,0.0,0.0,5.143832342965262,0.0,5.128507052474836
916.0,1158.2868129185267,0.0004125360199915512,0.0,0.0015714188505496288,2.064319310842881e-05,1592.4417550223213,0.0,0.0,5.1657272066388815,0.0,5.122459921189145
917.0,1156.3863525390625,0.0,0.0,0.0,0.0,1593.059814453125,0.0,0.0,5.1876220703125,0.0,5.116412789903454
918.0,1157.600551060268,0.008523029408284597,0.0049078091979026794,0.0,0.0,1607.4246651785713,0.0,0.0,5.171476296016148,0.0,5.0937507688302786
919.0,1158.8147495814733,0.017046058816569194,0.009815618395805359,0.0,0.0,1621.789515904018,0.0,0.0,5.155330521719796,0.0,5.071088747757103
920.0,1160.0289481026787,0.025569088224853792,0.014723427593708038,0.0,0.0,1636.1543666294642,0.0,0.0,5.139184747423444,0.0,5.048426726683927
921.0,1161.2431466238838,0.03409211763313839,0.019631236791610718,0.0,0.0,1650.5192173549108,0.0,0.0,5.123038973127093,0.0,5.025764705610752
922.0,1162.4573451450892,0.04261514704142298,0.024539045989513397,0.0,0.0,1664.884068080357,0.0,0.0,5.106893198830741,0.0,5.003102684537576
923.0,1163.6715436662946,0.051138176449707584,0.029446855187416077,0.0,0.0,1679.2489188058037,0.0,0.0,5.090747424534389,0.0,4.9804406634644005
924.0,1164.8857421875,0.05966120585799217,0.034354664385318756,0.0,0.0,1693.61376953125,0.0,0.0,5.074601650238037,0.0,4.957778642391225
925.0,1155.892787388393,0.05113817644970758,0.029446855187416077,4.085109269778643e-05,0.0001035068167506584,1684.6742989676338,0.0,0.0005565955902316741,5.11256606238229,0.0,4.950173775947563
926.0,1146.8998325892858,0.04261514704142298,0.024539045989513397,8.170218539557286e-05,0.0002070136335013168,1675.734828404018,0.0,0.0011131911804633482,5.1505304745265414,0.0,4.942568909503899
927.0,1137.9068777901787,0.03409211763313838,0.019631236791610718,0.00012255327809335928,0.00031052045025197525,1666.7953578404017,0.0,0.0016697867706950223,5.188494886670794,0.0,4.934964043060237
928.0,1128.9139229910713,0.025569088224853785,0.014723427593708038,0.00016340437079114572,0.0004140272670026336,1657.8558872767858,0.0,0.0022263823609266964,5.226459298815046,0.0,4.927359176616574
929.0,1119.9209681919642,0.01704605881656919,0.009815618395805359,0.00020425546348893216,0.000517534083753292,1648.9164167131696,0.0,0.0027829779511583707,5.264423710959298,0.0,4.9197543101729115
930.0,1110.928013392857,0.008523029408284588,0.0049078091979026794,0.00024510655618671857,0.0006210409005039505,1639.9769461495537,0.0,0.0033395735413900445,5.30238812310355,0.0,4.912149443729248
931.0,1101.93505859375,0.0,0.0,0.00028595764888450503,0.0007245477172546089,1631.0374755859375,0.0,0.0038961691316217184,5.340352535247803,0.0,4.904544577285586
932.0,1108.7535574776787,0.0,0.0,0.0008296472452847021,0.0006358551275168013,1633.6629638671875,0.0,0.003339573541390044,5.250251088823591,0.0,4.917822796187774
933.0,1115.572056361607,0.0,0.0,0.0013733368416848993,0.0005471625377789938,1636.2884521484375,0.0,0.0027829779511583702,5.16014964239938,0.0,4.931101015089961
934.0,1122.3905552455358,0.0,0.0,0.0019170264380850965,0.0004584699480411863,1638.9139404296875,0.0,0.0022263823609266964,5.0700481959751675,0.0,4.944379233992149
935.0,1129.2090541294642,0.0,0.0,0.0024607160344852935,0.00036977735830337873,1641.5394287109375,0.0,0.001669786770695022,4.9799467495509555,0.0,4.957657452894337
936.0,1136.027553013393,0.0,0.0,0.0030044056308854905,0.0002810847685655712,1644.1649169921875,0.0,0.0011131911804633477,4.8898453031267435,0.0,4.970935671796525
937.0,1142.8460518973213,0.0,0.0,0.003548095227285688,0.00019239217882776368,1646.7904052734375,0.0,0.0005565955902316739,4.799743856702532,0.0,4.984213890698713
938.0,1149.66455078125,0.0,0.0,0.0040917848236858845,0.00010369958908995613,1649.4158935546875,0.0,0.0,4.70964241027832,0.0,4.9974921096009
939.0,1147.377197265625,0.0,0.0,0.0035072441345879012,0.00012055836850777268,1653.2555629185267,0.0,0.011964877801282066,4.73896210534232,0.0,4.984759368627892
940.0,1145.08984375,0.0,0.0,0.0029227034454899175,0.00013741714792558923,1657.0952322823662,0.0,0.02392975560256413,4.76828180040632,0.0,4.972026627654885
941.0,1142.802490234375,0.0,0.0,0.002338162756391934,0.00015427592734340578,1660.9349016462054,0.0,0.035894633403846195,4.797601495470319,0.0,4.959293886681877
942.0,1140.51513671875,0.0,0.0,0.0017536220672939506,0.00017113470676122233,1664.7745710100446,0.0,0.04785951120512826,4.8269211905343195,0.0,4.946561145708869
943.0,1138.227783203125,0.0,0.0,0.0011690813781959674,0.00018799348617903888,1668.6142403738838,0.0,0.05982438900641033,4.856240885598319,0.0,4.933828404735861
944.0,1135.9404296875,0.0,0.0,0.0005845406890979837,0.00020485226559685543,1672.4539097377233,0.0,0.07178926680769239,4.885560580662319,0.0,4.921095663762854
945.0,1133.653076171875,0.0,0.0,0.0,0.00022171104501467198,1676.2935791015625,0.0,0.08375414460897446,4.914880275726318,0.0,4.908362922789846
946.0,1130.548374720982,0.0,0.0,0.0,0.00019003803858400455,1669.1703055245537,0.0,0.07741256643618856,4.918013913290841,0.0,4.912875302209265
947.0,1127.4436732700892,0.0,0.0,0.0,0.00015836503215333711,1662.0470319475446,0.0,0.07107098826340266,4.921147550855364,0.0,4.917387681628685
948.0,1124.3389718191963,0.0,0.0,0.0,0.0001266920257226697,1654.9237583705358,0.0,0.06472941009061678,4.924281188419887,0.0,4.921900061048104
949.0,1121.2342703683037,0.0,0.0,0.0,9.501901929200227e-05,1647.8004847935267,0.0,0.058387831917830875,4.9274148259844095,0.0,4.926412440467524
950.0,1118.1295689174108,0.0,0.0,0.0,6.334601286133484e-05,1640.677211216518,0.0,0.05204625374504498,4.9305484635489325,0.0,4.930924819886943
951.0,1115.024867466518,0.0,0.0,0.0,3.1673006430667434e-05,1633.5539376395088,0.0,0.04570467557225909,4.9336821011134555,0.0,4.935437199306363
952.0,1111.920166015625,0.0,0.0,0.0,0.0,1626.4306640625,0.0,0.03936309739947319,4.9368157386779785,0.0,4.939949578725782
953.0,1122.4773995535713,0.0033413834337677273,0.0,0.0,0.0,1622.1551339285713,0.0,0.03373979777097702,4.878578117915562,0.0,4.975091970281441
954.0,1133.034633091518,0.006682766867535455,0.0,0.0,0.0,1617.879603794643,0.0,0.02811649814248085,4.820340497153146,0.0,5.0102343618370995
955.0,1143.5918666294642,0.010024150301303183,0.0,0.0,0.0,1613.6040736607142,0.0,0.02249319851398468,4.762102876390729,0.0,5.045376753392758
956.0,1154.1491001674108,0.01336553373507091,0.0,0.0,0.0,1609.3285435267858,0.0,0.01686989888548851,4.703865255628314,0.0,5.080519144948417
