week,S,I,P,D,E,R,Q,W,H,A,R_t
140.0,98.64888,0.5327703,0.0,0.0,2.1802797,1951.5642,3.997457e-05,0.08697878,490.23157,0.00017937468,0.7048067446873977
141.0,97.88671,0.29380408,0.0,0.0,0.19610536,1940.5593,0.0064797993,0.032955673,492.44897,0.004325251,0.699361312435625
142.0,99.04354,0.48747665,0.0,0.0,0.23692618,1946.3823,0.011689451,0.20671052,490.9499,0.0064150826,0.7076264390805455
143.0,96.658485,0.0,0.0,0.0,1.559204,1945.7478,0.0040273867,0.13139349,489.90543,0.0027757513,0.6905861453793947
144.0,101.302414,0.32786694,0.0,0.0,1.2053226,1946.9667,0.0079190675,0.037818104,490.09274,0.00087048643,0.7237651953367062
145.0,98.53291,0.40054563,0.0,0.0,0.069773525,1946.6682,0.009820573,0.0,489.14746,0.0036846325,0.7039782492592017
146.0,101.033295,2.5231676,0.0,0.0,0.23360202,1945.3352,0.015267347,0.021613104,488.70184,6.774926e-05,0.7218424187535301
147.0,99.09402,0.20414664,0.0,0.0,0.0,1944.7941,0.010066415,0.20324993,489.04382,0.0034459818,0.7079870704112303
148.0,99.72638,1.5215678,0.0,0.0,1.1999722,1947.135,0.0,0.04823649,490.16434,0.0013585353,0.7125050189493597
149.0,101.65311,0.3325478,0.0,0.0,0.58378124,1943.8553,0.001009731,0.2383627,489.86896,0.00152657,0.7262707272941799
150.0,102.23166,0.0,0.0,0.0,0.3900054,1948.512,0.009767396,0.0,489.5687,0.0005400179,0.7304042240827138
151.0,106.07634,0.79043305,0.0,0.0,0.0,1947.2471,0.014688522,0.061848994,489.78714,9.088441e-05,0.7578729282049488
152.0,103.12483,3.4422836,0.0,0.0,0.22630975,1949.3263,0.0022610116,0.15149346,491.12,0.0012907406,0.7367856161926145
153.0,109.70204,0.14214316,0.0,0.0,1.0869651,1947.8788,0.01808942,0.18915762,488.6999,0.0013682514,0.7837771704435663
154.0,106.05954,0.7056302,0.0,0.0,1.0933039,1945.3497,0.017290005,0.20386024,488.67206,0.0017132665,0.757752981221397
155.0,110.17447,1.9243273,0.0,0.0,0.0,1942.9106,0.009079488,0.11589536,490.72607,0.005501767,0.7871524611178278
156.0,106.11943,0.46707034,0.0,0.0,1.227252,1941.1519,0.0050029866,0.21730962,490.19858,0.0,0.7581808766182978
157.0,110.46464,0.30938905,0.0,0.0,0.29324958,1944.8491,0.0016613607,0.11534248,487.00104,0.0040525487,0.7892256143158065
158.0,111.88149,1.633164,0.0,0.0,0.015819162,1940.3794,0.023015069,0.0033894419,488.37628,0.0029591606,0.7993484202091576
159.0,113.87085,1.4694898,0.0,0.0,0.4866078,1941.9602,0.0,0.0582529,488.9578,5.2212134e-05,0.8135616335520288
160.0,114.16771,0.15981281,0.0,0.0,0.5206246,1942.851,0.0043404563,0.09753792,486.49957,0.0097942725,0.8156825774874887
161.0,116.47485,0.7500695,0.0,0.0,1.1804736,1940.4106,0.00838099,0.0,488.01785,0.005604347,0.832166225609895
162.0,111.89058,1.2761092,0.0,0.0,1.4602839,1939.3243,0.014102784,0.25890893,489.308,0.0062731085,0.7994133403897561
163.0,115.48546,0.30956006,0.0,0.0,1.2652719,1939.8499,0.01800938,0.100238994,489.15573,0.0,0.8250973663986322
164.0,110.72419,0.94830126,0.0,0.0,0.32108474,1939.7703,0.023256566,0.052064545,488.57236,0.002873878,0.7910799548899617
165.0,119.35135,2.831911,0.0,0.0,0.211642,1943.0879,0.00964912,0.08295728,486.91077,0.0,0.8527175781967501
166.0,118.04425,0.35405153,0.0,0.0,1.8116212,1943.6558,0.018257447,0.06714177,487.64783,0.002848993,0.8433788838045978
