day,S,I,P,D,E,R,Q,W,H,A,R_t
870.0,85.45053155081612,0.5203436442783901,0.0,0.0,0.664785555430821,1959.0690002441406,0.026512087123202424,0.15941216211233822,491.5802786690848,0.0008498704659619502,0.6105098183243683
871.0,85.98198972429547,0.7805154664175851,0.0,0.0,0.865075843674796,1958.0887451171875,0.024482400555695807,0.1613406991319997,491.645129612514,0.0012748056989429254,0.6143068740834063
872.0,86.51344789777484,1.0406872885567802,0.0,0.0,1.0653661319187708,1957.1084899902344,0.022452713988189186,0.1632692361516612,491.70998055594305,0.0016997409319239004,0.6181039298424442
873.0,87.04490607125419,1.3008591106959753,0.0,0.0,1.2656564201627458,1956.1282348632812,0.02042302742068257,0.16519777317132267,491.7748314993722,0.002124676164904875,0.6219009856014822
874.0,87.57636424473354,1.5610309328351701,0.0,0.0,1.4659467084067208,1955.147979736328,0.018393340853175948,0.16712631019098417,491.83968244280135,0.002549611397885851,0.6256980413605202
875.0,88.10782241821289,1.8212027549743652,0.0,0.0,1.6662369966506958,1954.167724609375,0.016363654285669327,0.16905484721064568,491.90453338623047,0.0029745466308668256,0.6294950971195582
876.0,88.1546391078404,1.8540892771312167,0.0,0.0,1.4282031399863109,1954.3748256138392,0.016936675346057327,0.16269198412607822,491.91978672572543,0.0032397673930972815,0.6298295836132093
877.0,88.20145579746791,1.8869757992880685,0.0,0.0,1.1901692833219255,1954.5819266183034,0.017509696406445334,0.1563291210415108,491.9350400652204,0.0035049881553277373,0.6301640701068603
878.0,88.24827248709542,1.91986232144492,0.0,0.0,0.9521354266575405,1954.789027622768,0.018082717466833337,0.14996625795694332,491.9502934047154,0.003770208917558193,0.6304985566005114
879.0,88.29508917672294,1.952748843601772,0.0,0.0,0.7141015699931554,1954.996128627232,0.018655738527221338,0.1436033948723759,491.96554674421037,0.004035429679788649,0.6308330430941624
880.0,88.34190586635044,1.9856353657586234,0.0,0.0,0.4760677133287703,1955.2032296316966,0.01922875958760934,0.13724053178780846,491.9808000837054,0.004300650442019105,0.6311675295878135
881.0,88.38872255597796,2.018521887915475,0.0,0.0,0.23803385666438515,1955.4103306361608,0.019801780647997348,0.130877668703241,491.99605342320035,0.004565871204249561,0.6315020160814645
882.0,88.43553924560547,2.0514084100723267,0.0,0.0,0.0,1955.617431640625,0.02037480170838535,0.12451480561867356,492.0113067626953,0.004831091966480017,0.6318365025751156
883.0,87.53417369297571,2.1154644148690362,0.0,0.0,0.112490747656141,1955.1012137276787,0.01751538142395605,0.1291728744815503,492.1515350341797,0.004140935971268586,0.6253966067688197
884.0,86.63280814034599,2.1795204196657454,0.0,0.0,0.224981495312282,1954.5849958147323,0.01465596113952675,0.13383094334442702,492.29176330566406,0.0034507799760571545,0.6189567109625239
885.0,85.73144258771624,2.2435764244624545,0.0,0.0,0.33747224296842304,1954.0687779017858,0.011796540855097452,0.13848901220730372,492.43199157714844,0.002760623980845724,0.612516815156228
886.0,84.83007703508649,2.307632429259164,0.0,0.0,0.449962990624564,1953.5525599888392,0.008937120570668151,0.14314708107018045,492.5722198486328,0.002070467985634293,0.6060769193499321
